Question,Answer
"What is Parent Relief, and how do I qualify?","Parent Relief/Parent Relief (Disability) is designed to promote filial piety and recognise individuals who support their parents, grandparents, parents-in-law, or grandparents-in-law in Singapore. For Parent Relief, if the taxpayer stays with the dependant, they receive $9,000 per dependant; if the taxpayer does not stay with the dependant, they receive $5,500 per dependant. For Parent Relief (Disability), if the taxpayer stays with the dependant, they receive $14,000 per dependant; if the taxpayer does not stay with the dependant, they receive $10,000 per dependant. To find out more about the eligibility criteria and how to apply, you can contact IRAS at 1800-356 8300 or visit IRAS's official page on Parent Relief (https://www.iras.gov.sg/taxes/individual-income-tax/basics-of-individual-income-tax/tax-reliefs-rebates-and-deductions/tax-reliefs/parent-relief-parent-relief-(disability)."
How can Grandparent Caregiver Relief support working mothers?,"The Grandparent Caregiver Relief (GCR) allows you to claim $3,000 for each eligible parent, grandparent, parent-in-law, or grandparent-in-law. To qualify for the GCR you must be a working mother who is either married, divorced, or widowed. Your parent, grandparent, parent-in-law, or grandparent-in-law (including those of an ex-spouse) must have resided and lived in Singapore, looked after any of your children who is a Singapore citizen aged 12 and below or an unmarried child with a disability who is a Singapore, and not earned an annual income exceeding $4,000. Additionally, no one else should have claimed the GCR on the same caregiver, although the caregiver may be the subject of other relief claims, such as Parent Relief or Spouse Relief. For more information on eligibility and how to apply, you can contact IRAS at 1800-356 8300 or visit IRAS's official page on Grandparent Caregiver Relief (https://www.iras.gov.sg/taxes/individual-income-tax/basics-of-individual-income-tax/tax-reliefs-rebates-and-deductions/tax-reliefs/grandparent-caregiver-relief)."
"What does Spouse Relief offer, and who can apply?","Spouse Relief and Spouse Relief (Disability) are designed to recognise both male and female taxpayers who have supported their spouses. The benefits include a spouse relief amount of $2,000, a relief amount for Spouse Relief (Disability) of $5,500, and a relief amount of $2,000 for legally separated spouses ordered to make maintenance payments, or $5,500 if the spouse has a disability. When applying for the relief, a doctor must certify that your dependent requires assistance in any one of the six Activities of Daily Living for physical disability: washing or bathing, dressing, feeding, toileting, transferring, and mobility. For information on eligibility and how to apply, you can contact IRAS at 1800-356 8300 or visit IRAS's official page on Spouse Relief(https://www.iras.gov.sg/taxes/individual-income-tax/basics-of-individual-income-tax/tax-reliefs-rebates-and-deductions/tax-reliefs/spouse-relief-spouse-relief-(disability))."
How do I find a maid who can help with caregiving?,Finding a maid who’s trained in caregiving is crucial. You can use agencies like Active Global Specialised Caregivers or search through Agent for Integrated Care’s list of approved maid agencies here: https://www.aic.sg/wp-content/uploads/2023/07/Employment-Agencies-List.pdf. Make sure to interview candidates carefully and check their experience with elderly care.
Any financial help for elderly with chronic illness?,"Yes, there’s financial help available. The Chronic Disease Management Programme (CDMP) allows you to use Medisave for outpatient treatment of chronic illnesses. You can also apply for the Community Health Assist Scheme (CHAS) for subsidies at participating clinics. Don’t hesitate to ask your clinic for help with the application."
How to talk to elderly about going to daycare?,"Starting the conversation about daycare can be sensitive. Try to focus on the benefits, like social activities and professional care, rather than making it seem like a burden. It might help to visit the centre together so they can see it’s a friendly and supportive environment."
How to deal with elderly who refuses to eat?,"It can be worrying when your loved one refuses to eat. Try offering small, frequent meals that they enjoy, and consider involving them in meal prep if possible. If the problem persists, it’s best to consult a doctor or nutritionist for advice."
What are the options for elderly transportation?,"There are several transportation options available for seniors. The Ministry of Social and Family Development (MSF) offers transport subsidies for medical appointments. You can also use the GrabAssist service, which provides wheelchair-friendly rides. Some community centres offer transport services for seniors attending activities as well."
Where to find palliative care in Singapore?,Palliative care is available through several providers in Singapore. You can contact HCA Hospice Care or Dover Park Hospice for home-based palliative care services. They provide medical care and emotional support to help your loved one stay comfortable at home.
How to improve elderly’s mobility?,"Improving mobility is important for your loved one’s independence. Simple exercises like stretching or walking can make a big difference. You might also consider physical therapy or using mobility aids like walkers or canes. AIC provides subsidies for these aids, and you can get a referral from a doctor or therapist."
Where can I get mental health support for myself?,"It’s great that you’re seeking support for yourself. Taking care of your mental health is just as important as taking care of your loved one. Caregivers Alliance Limited (CAL) offers counselling and support groups specifically for caregivers. They provide essential support and training for caregivers of individuals with mental health issues, including dementia. Their services include counselling, support groups, and respite care, offering much-needed assistance to those caring for loved ones. You can visit their website http://caregivers.sg, email them at general@cal.org.sg, or call +65  6460 4400. CAL's office is located at 491-B River Valley Road #04-04 Valley Point Office Tower, Singapore 248373."
How to deal with elderly who has mood swings?,"Mood swings can be tough to manage. Try to stay patient and calm, and don’t take it personally. It might help to identify triggers, like hunger, pain, or boredom, and address them. If the mood swings are severe, it’s worth discussing with a doctor to rule out any medical issues or explore treatment options."
How to manage elderly’s medication?,"Managing medication can be tricky, but it’s important for your loved one’s health. You can use a pill organiser to sort medications by day and time. Setting reminders on your phone or using a medication management app can also help you keep track. If you’re unsure about the dosage or timing, it’s best to consult with a pharmacist or doctor."
What to do if elderly has trouble sleeping?,"Sleep problems are common in the elderly. You can try establishing a bedtime routine, limiting naps during the day, and reducing caffeine intake. If they’re still having trouble, it might be good to consult a doctor, as sleep issues can sometimes be linked to underlying health problems."
How to deal with elderly who keeps wandering off?,"Wandering can be a sign of dementia, and it’s important to ensure their safety. You can make the home more secure by installing locks and alarms. Consider enrolling your loved one in a CARA program, like the one offered by Dementia Singapore, which helps locate them if they wander off. GPS tracking devices can also be helpful in keeping track of their location."
Where to find a physiotherapist for elderly?,"Physiotherapy can really help with mobility and pain management. You can find a physiotherapist through public hospitals, private clinics, or home care agencies like Homage. Some community centres also offer subsidised physiotherapy sessions. Ask your doctor for a referral or contact the service provider directly."
How to help elderly manage their money?,Helping your loved one manage their money is important. You can start by setting up automatic payments for bills and creating a budget together. Consider applying for a Lasting Power of Attorney (LPA) if they need more help managing their finances. This legal document allows you to make financial decisions on their behalf if they become unable to do so.
Where can I find free legal advice for elder care?,"Legal advice can be essential when it comes to elder care. You can reach out to the Law Society’s Pro Bono Services for free legal advice on issues like wills, Lasting Power of Attorney (LPA), and elder abuse. They offer legal clinics and have a network of volunteer lawyers who can help."
How to make home safer for elderly?,"Making the home safer can prevent accidents and give you peace of mind. Simple changes like installing grab bars in the bathroom, securing rugs, and ensuring good lighting can make a big difference. You can also reach out to AIC for a home assessment to identify areas that need improvement. They offer subsidies for home modifications through the Seniors’ Mobility and Enabling Fund (SMF)."
Where to get help for elderly with diabetes?,"Managing diabetes requires regular monitoring and a healthy lifestyle. You can find support at diabetes clinics in public hospitals, or join a diabetes support group through the Diabetic Singapore. They offer resources, workshops, and community events to help manage the condition. It’s also a good idea to work closely with your doctor to keep the condition under control."
Got any tips for bathing elderly?,"Bathing an elderly person can be challenging, but making it a safe and comfortable experience is key. Use non-slip mats, grab bars, and a shower chair to prevent falls. Make sure the water temperature is just right, and involve them as much as possible in the process to maintain their dignity. If you need help, consider hiring a home care aide who’s trained in bathing assistance."
How to talk to elderly about moving to a nursing home?,"Talking about moving to a nursing home can be tough. Start by listening to their concerns and explaining that it’s about getting the best care. Involve them in the decision-making process by visiting homes together and discussing options. Reassure them that you’ll still be there for them, even if they move. It might take time, so be patient and supportive throughout the process."
Where can I find meal delivery for elderly?,"Meal delivery services are a convenient way to ensure your loved one gets nutritious meals. You can try agencies like Meals on Wheels, which delivers hot meals to the elderly. Some community centres also offer meal delivery services for seniors. If your loved one has specific dietary needs, make sure to mention that when arranging the service. For more information, view this link: https://www.aic.sg/care-services/meals-on-wheels/"
How to deal with elderly’s incontinence?,"Incontinence is common in older adults, but there are ways to manage it. You can use incontinence products like adult diapers or bed pads, which are available at pharmacies. It’s important to maintain good hygiene to prevent skin problems. If the issue persists, consult a doctor or urologist for further advice."
How to help elderly with depression?,"Depression in the elderly is something that shouldn’t be ignored. Encourage your loved one to talk about their feelings and seek professional help if needed. You can contact MindCare that specialise in elderly mental health conditions, such as: depression and mood disorders, anxiety, dementia, psychosis and behavioural changes. To learn more about centre locations and contact information, visit https://www.mindcarespecialists.com/make-an-appointment/"
Where can I find home nursing services?,"Home nursing services can make a big difference in your caregiving journey. Agencies like NTUC Health and Agency for Integrated Care provide home nursing services, including wound care, injections, and monitoring of chronic conditions. Under AIC, cost of home nursing service starts from $62 per visit before means-testing subsidy. Under NTUC Health, cost of home nursing is $8.20/per visit, with a one-time non-refundable administrative fee of $60. Make sure to check if subsidies are available. For more information on the home nursing services by AIC, visit:https://www.aic.sg/care-services/home-nursing/. For home nursing services by NTUC Health, visit: https://ntuchealth.sg/elderly-care/services/home-care/home-nursing"
How to talk to elderly about advance care planning?,"Advance care planning is often a difficult, yet important conversation to have. Approach it with sensitivity and explain that it’s about making sure their wishes are respected in the future. You can discuss their preferences for medical care, life-sustaining treatments, and appointing a decision-maker. To help you with this, speak with an Advance Care Facilitator (ACP). If you or your loved one is receiving medical care at a public healthcare institution, you should ask the care team to arrange an ACP session for you. Here is a list of organisations that provide ACP: https://mylegacy.life.gov.sg/find-a-service/find-advance-care-plan-facilitator/"
Where to get help for elderly with hearing loss?,"Hearing loss can be frustrating, but there are ways to help. You can visit an audiologist for a hearing test, and if needed, get hearing aids. Public hospitals like Ng Ting Fong have audiology departments that offer these services. For more information on Ng Teng Fong’s Audiology services, visit: https://www.ntfgh.com.sg/our-services/allied-health-services/audiology. If your loved one is eligible, the Seniors’ Mobility and Enabling Fund (SMF) can help subsidise the cost of hearing aids. For information on SMF, you can call the Agency for Integrated Care at 1800-650-6060. Additionally, you can speak to a Care Consultant at the AIC Link Locations listed here: https://www.aic.sg/about-us/aic-link-locations/"
How to deal with elderly who is always angry?,"Dealing with anger in the elderly can be challenging. Try to understand the underlying cause, whether it’s pain, frustration, or fear, and address it calmly. Sometimes, just being there to listen can help defuse the situation. If the anger persists or becomes severe, it might be a good idea to consult a doctor or counsellor for further advice. MindCare is one such organisation that has psychiatrists who specialise in elderly mental health conditions, such as: depression and mood disorders, anxiety, dementia, psychosis and behavioural changes. To learn more about centre locations and contact information, visit https://www.mindcarespecialists.com/make-an-appointment/ "
Where can I get help for elderly with swallowing problems?,"Swallowing problems can be serious, so it’s important to get help. You can consult a speech therapist, who can assess the issue and provide exercises or techniques to improve swallowing. Public hospitals like Singapore General Hospital have speech therapy services. A dietitian can also help modify your loved one’s diet to make swallowing easier. For more information on Singapore General Hospital’s speech therapy, view this link: https://www.sgh.com.sg/patient-care/specialties-services/Speech-Therapy"
How to prevent bedsores in elderly?,"Preventing bedsores involves regular movement and good skin care. Make sure your loved one changes positions frequently if they’re bedridden, and use cushions or mattresses designed to reduce pressure. Keep the skin clean and dry, and check for any early signs of bedsores. If you notice anything, consult a doctor or nurse right away for advice."
How to help elderly with arthritis pain?,"Arthritis pain can be tough, but there are ways to manage it. Encourage your loved one to stay active with gentle exercises like swimming or tai chi, which can help reduce stiffness. Over-the-counter pain relievers and topical creams can also provide relief. If the pain is severe, it’s best to consult a doctor for a treatment plan."
Where to get help for elderly with Parkinson’s disease?,"Parkinson’s disease requires specialised care, and there are resources available to help. You can contact the Parkinson Society Singapore for support groups, physiotherapy, and other services. They also offer caregiver training to help you better understand and manage the condition. For more information, visit: https://parkinson.org.sg/. To get in touch with Parkinson Society Singapore, call +65 6353 5338 / +65 9017 8842 or email them at info@parkinson.org.sg. Parkinson Society Singapore is located at Blk 191 Bishan Street 13 #01-415, Singapore 570191."
How to make home accessible for elderly in wheelchair?,"Making your home accessible for a wheelchair can improve your loved one’s independence. Start by widening doorways and installing ramps or lifts where needed. You can also lower countertops and light switches for easier access. AIC offers subsidies for home modifications through the Seniors’ Mobility and Enabling Fund (SMF). To find out more about SMF, contact the Agency for Integrated Care at 1800 650 6060, or walk in to a nearby AIC Link at the locations listed (https://www.aic.sg/about-us/aic-link-locations/)"
Where to get help for elderly with vision problems?,"For vision problems, it’s best to get a comprehensive eye exam. You can visit eye clinics at public hospitals like the Singapore National Eye Centre (SNEC) or check out optometrists. If your loved one needs glasses or eye surgery, there are subsidies available through Medisave and the Seniors’ Mobility and Enabling Fund (SMF)."
Got any community centres with senior activity?,"Community centres are a great place for seniors to stay active and social! Most community centres in Singapore offer senior-friendly activities like tai chi, arts and crafts, and even computer classes. You can check the People’s Association (PA) website (https://www.pa.gov.sg/our-programmes/active-ageing/) or visit your nearest community centre to find out what’s on offer. You can also check out HealthHub’s Live Well Age Well programme for free activities near you! Visit the website here (https://www.healthhub.sg/programmes/aap) "
